#pattern	p-value	PR	percentage k/M1&M2	percentage k/M1&M3
['X-[mod]->Y', 'Y[Gender=Masc]', 'Y[Number=Sing]']	4.147422833424738e-14	1.1850501857931504	37.233498209107964	33.435441874712815
['Y[lemma=long]']	4.5143528561538663e-14	2.5561478933791912	0.8186935016203309	76.19047619047619
['X[Gender=Masc]', 'X-[mod]->Y', 'Y[Number=Sing]']	6.072518726194042e-14	1.1838508120157802	37.09704929217124	33.42040565457898
['X[Gender=Masc]', 'Y[Gender=Masc]', 'Y[Number=Sing]']	2.2683068691400281e-13	1.1791327913279133	37.06293706293706	33.33333333333333
['Y[Gender=Masc]', 'Y[Number=Sing]']	2.727751639658038e-13	1.1782670888007325	37.233498209107964	33.30790357033872
['X[Gender=Masc]', 'Y[Number=Sing]']	4.575591898025849e-13	1.1765230022886943	37.09704929217124	33.28232593726091
['Y[lemma=excellent]', 'X-[mod]->Y']	1.3179686392981369e-12	2.897467867455863	0.5457956677468873	86.48648648648648
['Y[lemma=excellent]']	2.089040058280626e-12	2.834978229317852	0.5628517823639775	84.61538461538461
['Y[lemma=plein]']	3.0466768524049783e-12	2.778596504441627	0.5799078969810677	82.92682926829268
['Y[lemma=quatrième]']	4.7040046126994264e-12	3.213755780099332	0.40934675081016547	96.0
['X-[mod]->Y', 'Y[Gender=Masc]']	3.009475769242973e-11	1.1546350171126059	54.61367900392291	32.05847016419703
['Y[lemma=futur]']	3.1115304094523856e-11	3.0017663773903696	0.4434589800443459	89.65517241379311
['Y[lemma=XVIIe]']	3.309950651289596e-11	3.3462262536368304	0.3411222923418045	100.0
['X[Gender=Masc]', 'X-[mod]->Y']	6.331859350927593e-11	1.1518054866591507	54.61367900392291	32.019999999999996
['X-[mod]->Y']	2.2226106918225729e-10	21.644307692307695	99.98294388538291	30.06153846153846
['Y[Gender=Masc]']	3.2272657320670596e-10	1.1454638054104724	54.61367900392291	31.93377879724743
['X[Gender=Masc]']	8.226786930747243e-10	1.1417218624327268	54.61367900392291	31.882903514885992
['Y[lemma=super]']	1.3861704072157136e-08	3.3442202462380304	0.2558417192563534	100.0
['Y[lemma=fameux]']	1.3861704072157136e-08	3.3442202462380304	0.2558417192563534	100.0
['Y[lemma=XVIe]']	4.635103577419203e-08	3.343819456317319	0.23878560463926318	100.0
['X[Gender=Fem]', 'Y[lemma=fort]']	7.340859149913863e-08	2.5355040642810427	0.4264028654272557	75.75757575757575
['Y[lemma=fort]', 'Y[Gender=Fem]']	7.340859149913863e-08	2.5355040642810427	0.4264028654272557	75.75757575757575
['Y[lemma=principal]']	8.143399692915673e-08	1.8104818905900617	1.0404229916425038	53.98230088495575
['Y[lemma=XVIIIe]']	1.5497092456537134e-07	3.3434188034188033	0.22172949002217296	100.0
['Y[lemma=vaste]']	1.5961266367117706e-07	3.135046169630643	0.2558417192563534	93.75
['Y[lemma=cinquième]']	5.012016796026805e-07	3.1207385877927853	0.23878560463926318	93.33333333333333
['Y[lemma=sixième]']	5.180706348485152e-07	3.3430182874722267	0.20467337540508274	100.0
['Y[lemma=XIIe]']	5.180706348485152e-07	3.3430182874722267	0.20467337540508274	100.0
['Y[lemma=1er]']	5.180706348485152e-07	3.3430182874722267	0.20467337540508274	100.0
['Y[lemma=XVe]']	5.180706348485152e-07	3.3430182874722267	0.20467337540508274	100.0
['X[Number=Sing]', 'Y[lemma=double]']	7.173468244108913e-07	2.736604712652617	0.3070100631076241	81.81818181818183
['Y[lemma=double]']	8.896127625728728e-07	2.6481006160164267	0.3240661777247143	79.16666666666666
['X[Number=Plur]', 'Y[Number=Plur]', 'Y[Shared=Yes]']	9.721909430022091e-07	2.0698326549072816	0.5799078969810677	61.81818181818181
['X[Number=Plur]', 'Y[Shared=Yes]']	1.5257612855279731e-06	2.020537003289707	0.5969640115981579	60.3448275862069
['Y[lemma=XIe]']	1.7317121818646278e-06	3.3426179084073824	0.18761726078799248	100.0
['Y[lemma=célèbre]']	2.8400404141367134e-06	2.477798695495084	0.3411222923418045	74.07407407407408
['Y[lemma=large]']	2.8400404141367134e-06	2.477798695495084	0.3411222923418045	74.07407407407408
['Y[lemma=fort]']	3.0394287124728803e-06	2.0919766843819647	0.5116834385127068	62.5
['Y[lemma=XIIIe]']	5.787759046922239e-06	3.3422176661541085	0.17056114617090226	100.0
['Y[lemma=2e]']	1.9341634819771047e-05	3.3418175606422955	0.15350503155381204	100.0
['Y[lemma=3e]']	1.9341634819771047e-05	3.3418175606422955	0.15350503155381204	100.0
['X[Number=Plur]', 'Y[lemma=différent]']	2.067233432738792e-05	1.733526075836762	0.7504690431519699	51.76470588235295
['X[Number=Sing]', 'Y[lemma=extrême]']	2.472469323461948e-05	2.8651512561955217	0.20467337540508274	85.71428571428571
['Y[lemma=extrême]', 'Y[Number=Sing]']	2.472469323461948e-05	2.8651512561955217	0.20467337540508274	85.71428571428571
['X[Number=Sing]', 'Y[lemma=tel]']	2.6030740882425894e-05	2.137214611872146	0.3922906361930752	63.888888888888886
['Y[Number=Plur]', 'Y[Shared=Yes]']	4.062303736162105e-05	1.7985753402201279	0.6140201262152482	53.73134328358209
['Y[lemma=faux]']	4.634822769749835e-05	3.0382243759998757	0.17056114617090226	90.9090909090909
['Y[lemma=différent]', 'Y[Number=Plur]']	5.2321340439069075e-05	1.6938366686880937	0.7334129285348797	50.588235294117645
['Y[lemma=tel]', 'Y[Number=Sing]']	8.954615210479756e-05	2.024522350396539	0.3922906361930752	60.526315789473685
['Y[lemma=court]']	0.00013772131430281017	2.090107821324662	0.3411222923418045	62.5
['Y[lemma=ultime]']	0.00014132651677541036	3.007482063546293	0.15350503155381204	90.0
['X[Number=Plur]', 'Y[lemma=prochain]']	0.0002026805201897806	2.7848966342046815	0.17056114617090226	83.33333333333334
['Y[lemma=7e]']	0.00021592489558128135	3.341017759562842	0.11939280231963159	100.0
['Y[lemma=superbe]']	0.00021592489558128135	3.341017759562842	0.11939280231963159	100.0
['Y[lemma=simple]']	0.0002513450710025857	2.026667496460411	0.3411222923418045	60.60606060606061
['Y[Number=Sing]']	0.0003805788970481736	1.0839297332465843	70.1688555347092	30.706075533661743
['Y[lemma=prochain]', 'Y[Number=Plur]']	0.0006408904860776566	2.5705423911472094	0.17056114617090226	76.92307692307693
['Y[lemma=VIe]']	0.00072132260661488	3.3406180638552163	0.10233668770254137	100.0
['Y[lemma=XIVe]']	0.00072132260661488	3.3406180638552163	0.10233668770254137	100.0
['Y[lemma=IVe]']	0.00072132260661488	3.3406180638552163	0.10233668770254137	100.0
['Y[lemma=septième]']	0.00072132260661488	3.3406180638552163	0.10233668770254137	100.0
['Y[lemma=Ve]']	0.00072132260661488	3.3406180638552163	0.10233668770254137	100.0
['X[Number=Sing]', 'Y[lemma=faible]']	0.0009601960544629624	2.0891757865937075	0.2558417192563534	62.5
['X[Number=Sing]', 'Y[lemma=puissant]']	0.0014025829101822168	2.227995214493249	0.20467337540508274	66.66666666666666
['Y[lemma=différent]']	0.001569027566255544	1.487311680128315	0.7504690431519699	44.44444444444444
['Y[lemma=immense]']	0.0015693100879521	2.672860802732707	0.13644891693672181	80.0
['Y[lemma=faible]']	0.002266273173478757	1.8148186173853524	0.3240661777247143	54.285714285714285
['Y[lemma=VIIIe]']	0.0024093751184078803	3.3402185046090818	0.08528057308545113	100.0
['Y[lemma=6e]']	0.0024093751184078803	3.3402185046090818	0.08528057308545113	100.0
['Y[lemma=Xe]']	0.0024093751184078803	3.3402185046090818	0.08528057308545113	100.0
['Y[lemma=IXe]']	0.0024093751184078803	3.3402185046090818	0.08528057308545113	100.0
['Y[lemma=5e]']	0.0024093751184078803	3.3402185046090818	0.08528057308545113	100.0
['Y[lemma=4e]']	0.0024093751184078803	3.3402185046090818	0.08528057308545113	100.0
['Y[lemma=huitième]']	0.0024093751184078803	3.3402185046090818	0.08528057308545113	100.0
['Y[lemma=joli]']	0.0024093751184078803	3.3402185046090818	0.08528057308545113	100.0
['Y[lemma=extrême]']	0.002771582026421024	2.110624364705988	0.20467337540508274	63.1578947368421
['Y[lemma=bref]']	0.004243267848897302	2.598303734061931	0.11939280231963159	77.77777777777779
['Y[lemma=lourd]']	0.005050020705417718	2.0049905998974533	0.20467337540508274	60.0
['Y[lemma=puissant]']	0.007111891018129915	1.8887922705314009	0.22172949002217296	56.52173913043478
['Y[lemma=18e]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['X[Number=Sing]', 'Y[lemma=tiers]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=Ier]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=15e]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=11e]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=13e]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=terrible]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=1re]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=8e]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=neuvième]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['Y[lemma=quadruple]']	0.008046876995563303	3.3398190817545657	0.06822445846836091	100.0
['X[Number=Plur]', 'Y[Number=Plur]', 'Y[Typo=Yes]']	0.008180941336347995	2.147762213870858	0.15350503155381204	64.28571428571429
['Y[lemma=prochain]']	0.00974551429198158	1.5953751828452274	0.35817840695889475	47.72727272727273
